PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,popn_2021, popn_highschool_and_equivalent,high_school_per,area_kmsq,lum_count_2021,sum_2021,mean_2021,lum_count_2017,sum_2017,mean_2017,lum_count_2016,sum_2016,mean_2016,lum_count_2015,sum_2015,mean_2015,lum_count_2014,sum_2014,mean_2014,lum_count_2013,sum_2013,mean_2013,lum_count_2012,sum_2012,mean_2012,lisa_total_100_20_21,lisa_governance_management_9_20_21,lisa_organization_administration_8_20_21,lisa_budget_plan_management_11_20_21,lisa_fiscal_economic_management_11_20_21,lisa_service_delivery_16_20_21,lisa_judicial_execution_7_20_21,lisa_physical_infrastructure_13_20_21,lisa_social_inclusion_10_20_21,lisa_environmental_protection_ disaster_management_9_20_21,lisa_cooperation_coordination_6_20_21,lisa_total_100_21_22,lisa_governance_management_9_21_22,lisa_organization_administration_8_21_22,lisa_budget_plan_management_11_21_22,lisa_fiscal_economic_management_11_21_22,lisa_service_delivery_16_21_22,lisa_judicial_execution_7_21_22,lisa_physical_infrastructure_13_21_22,lisa_social_inclusion_10_21_22,lisa_environmental_protection_ disaster_management_9_21_22,lisa_cooperation_coordination_6_21_22,fra_plan_budget_program_management_21_21_22,fra_implementation_capability_management_21_21_22,fra_accounting_reporting_17_20_21,fra_monitoring_evaluation_audit_16_21_22,fra_revenue_management_17_21_22,fra_total_100_21_22,Name of Chairperson,Age at Election,Sex,Political Affiliation
7,BAITADI,Nagarpalika,Patan,28360,2729,9.62%,219.26,1172,576.6869838,0.49205374,1172,364.1320084,0.31069284,1172,128.2072382,0.109391841,1172,205.4982018,0.175339763,1172,159.9696216,0.136492851,1172,176.7022334,0.150769824,1172,184.0363399,0.157027594,45,7,4,5,6,8.5,5,4,4,1.5,0,41,6.5,4,3.25,5.75,8,4.5,3,4,1.5,0.5,5,12,5,6,4,32,Keshav Bahadur Chand,66,Male,NC
7,BAITADI,Nagarpalika,Purchaudi,38666,3051,7.89%,198.52,1063,389.0917014,0.366031704,1063,304.6375096,0.286582794,1063,97.61603733,0.091830703,1063,168.2082299,0.158239163,1063,111.1515142,0.104563983,1063,136.3589308,0.128277451,1063,124.8121234,0.11741498,50.5,7,4.75,6.5,8.25,10.25,3,4.5,3.75,2,0.5,80.5,8,7,8,10,14.5,7,11,8,6,1,14.5,24,11,7,5.5,62,Rada Bahadur Kuwar,50,Male,CPN-MC
7,BAITADI,Gaunpalika,Shivanath,18247,1060,5.81%,81.65,433,162.5763517,0.375465016,433,143.3933611,0.331162497,433,51.86271708,0.119775328,433,74.84102656,0.172843017,433,66.11976431,0.152701534,433,61.33692535,0.141655717,433,115.2280092,0.266115495,50.25,9,3,6,8.25,7,4,3.5,4.5,5,0,62.25,9,6,6,7,11,5,5.75,6,4.5,2,11,21.5,11,9,6,58.5,Karna Sighn Saud,41,Male,NC
7,BAITADI,Gaunpalika,Sigas,23479,1685,7.18%,245.44,1311,476.7007943,0.363616167,1311,379.8308582,0.289726055,1311,126.9043259,0.096799638,1311,189.3104594,0.144401571,1311,151.6283859,0.11565857,1311,177.1101667,0.135095474,1311,157.7706371,0.120343735,41.5,7.25,3.75,5.25,6,7,3,1.5,6.75,0.5,0.5,48.25,8,5,7.25,7.5,10.25,2.5,1,3.5,1.5,1.75,16,23.5,13,7,5.5,65,Hari Sighn Dhami,49,Male,NC
7,BAITADI,Gaunpalika,Surnaya,18230,1383,7.59%,124.52,660,243.3483588,0.368709635,660,195.8190067,0.296695465,660,62.36737093,0.094496017,660,109.1625491,0.165397802,660,75.27475171,0.114052654,660,89.29567488,0.135296477,660,85.50603873,0.129554604,62,7.75,5,6.5,9.5,8.75,6,9,3,5,1.5,50.75,6.25,5.5,3.5,9,8.5,5,4.5,1.5,5.5,1.5,13,17.5,13,5,8,56.5,Bir Bahadur Bista,42,Male,NC
7,BAJHANG,Gaunpalika,Bithadchir,16854,1147,6.81%,86.15,460,168.2566613,0.365775351,460,131.9457798,0.286838652,460,36.29892851,0.078910714,460,66.44687337,0.144449725,460,45.07244332,0.097983572,460,58.41218884,0.126983019,460,54.43789517,0.11834325,57.25,7,4,5,7.75,8,5,6.5,6,5,3,44.25,7.25,4,4,6.25,9,4,2,4.75,3,0,4.5,16.5,8,3.5,4.5,37,Prem Bahadur Bohora,36,Male,CPN-UML
7,BAJHANG,Nagarpalika,Bungal,33487,2177,6.50%,447.58,2400,850.3497046,0.354312377,2400,689.9642708,0.287485113,2400,193.5086911,0.080628621,2400,365.3768545,0.152240356,2400,245.0191178,0.102091299,2400,327.5254196,0.136468925,2400,277.0151221,0.115422968,19,3,1.5,0,4,3.5,2,3,0.5,1.5,0,28.75,3,2,1.5,3.5,7.25,2.5,4,3,2,0,8,13,6,1.5,0,28.5,Dhan Bahadur Bista,45,Male,NC
7,BAJHANG,Gaunpalika,Chabispathivera,14515,1108,7.63%,116.34,626,221.3327523,0.353566697,626,177.2345803,0.283122333,626,51.4580069,0.082201289,626,97.57294387,0.155867322,626,60.13597752,0.096063862,626,84.71308442,0.135324416,626,73.09463481,0.116764592,69.25,7.5,6.25,6.5,11,13,5.75,9.5,8.5,1.25,0,39.5,7.5,4.75,5.5,7.5,8,2.75,0.5,0,2.5,0.5,8,7.5,5,2.5,4,27,Akkal Bahadur Dhami,46,Male,CPN-UML
7,BAJHANG,Gaunpalika,Durgathali,11414,819,7.18%,61.83,332,118.3014487,0.356329665,332,96.6016434,0.290968805,332,31.24038123,0.094097534,332,48.24944411,0.145329651,332,34.53867261,0.104032146,332,42.74200953,0.128740993,332,38.64709534,0.116406914,43,7,3,7.5,6.5,4.5,1.5,1,5,5.5,1.5,49.75,7,1,6,8.75,9.5,3.5,4,5,5,0,7,17,11,6,4.5,45.5,Prayag Raj Joshi,41,Male,CPN-UML
7,BAJHANG,Nagarpalika,JayaPrithivi,21973,2392,10.89%,166.79,897,339.8157872,0.378835883,897,265.0021015,0.295431551,897,75.48536427,0.084153137,897,136.7906787,0.15249797,897,83.43045924,0.093010545,897,114.2867687,0.127409999,897,109.5407311,0.122118987,52.5,8,6,5.5,7.5,8,4.75,2,6.25,4,0.5,60.25,7.5,6,7.5,8.5,9,6.5,4.5,4.75,5,1,15.5,16.5,5,2,7,46,Birendra Bahadur Khadka,49,Male,CPN-UML
